BASIN,WTRSHDGRPC,duplicate
Coast,SKGT,1
Coast,TSAY,1
Coast,UNUR,1
Coast,WORC,1
Coast,GOLD,0
Columbia River,CANO,1
Columbia River,KETL,1
Columbia River,LARL,1
Columbia River,OKAN,1
Columbia River,REVL,1
Columbia River,SIML,1
Columbia River,UARL,1
Columbia River,BULL,0
Columbia River,CLRH,0
Columbia River,COLR,0
Columbia River,DUNC,0
Columbia River,ELKR,0
Columbia River,KHOR,0
Columbia River,KOTL,0
Columbia River,KOTR,0
Columbia River,SLOC,0
Columbia River,SMAR,0
Fraser River,ADMS,1
Fraser River,DRIR,1
Fraser River,FRAN,1
Fraser River,FRCN,1
Fraser River,HERR,1
Fraser River,LNIC,1
Fraser River,LSAL,1
Fraser River,LTRE,1
Fraser River,MCGR,1
Fraser River,MIDR,1
Fraser River,MORK,1
Fraser River,MUSK,1
Fraser River,NICL,1
Fraser River,SALR,1
Fraser River,SHUL,1
Fraser River,STHM,1
Fraser River,STUL,1
Fraser River,TABR,1
Fraser River,TAKL,1
Fraser River,UFRA,1
Fraser River,UNRS,1
Fraser River,UNTH,1
Fraser River,USHU,1
Fraser River,UTRE,1
Fraser River,BBAR,0
Fraser River,BIGC,0
Fraser River,BLAR,0
Fraser River,BONP,0
Fraser River,BOWR,0
Fraser River,BRID,0
Fraser River,CARR,0
Fraser River,CHES,0
Fraser River,CHIL,0
Fraser River,CHIR,0
Fraser River,CHWK,0
Fraser River,CLWR,0
Fraser River,COTR,0
Fraser River,DEAD,0
Fraser River,DOGC,0
Fraser River,EUCH,0
Fraser River,EUCL,0
Fraser River,GRNL,0
Fraser River,GUIC,0
Fraser River,HARR,0
Fraser River,HOMA,0
Fraser River,HORS,0
Fraser River,KITL,0
Fraser River,KLIN,0
Fraser River,LCHL,0
Fraser River,LCHR,0
Fraser River,LDEN,0
Fraser River,LEUT,0
Fraser River,LFRA,0
Fraser River,LILL,0
Fraser River,LNRS,0
Fraser River,LNTH,0
Fraser River,MAHD,0
Fraser River,MFRA,0
Fraser River,MURT,0
Fraser River,NARC,0
Fraser River,NAZR,0
Fraser River,NECR,0
Fraser River,QUES,0
Fraser River,SAJR,0
Fraser River,SETN,0
Fraser River,SQAM,0
Fraser River,STUR,0
Fraser River,TASR,0
Fraser River,THOM,0
Fraser River,TOBA,0
Fraser River,TWAC,0
Fraser River,UCHR,0
Fraser River,UDEN,0
Fraser River,UEUT,0
Fraser River,WILL,0
Mackenzie River,CARP,1
Mackenzie River,CRKD,1
Mackenzie River,DEAL,1
Mackenzie River,FIRE,1
Mackenzie River,FROG,1
Mackenzie River,INGR,1
Mackenzie River,LRAN,1
Mackenzie River,MDEA,1
Mackenzie River,MESI,1
Mackenzie River,MURR,1
Mackenzie River,NATR,1
Mackenzie River,PARS,1
Mackenzie River,SMOK,1
Mackenzie River,TOOD,1
Mackenzie River,TURN,1
Mackenzie River,UKEC,1
Mackenzie River,UOMI,1
Mackenzie River,BEAV,0
Mackenzie River,BLUR,0
Mackenzie River,COAL,0
Mackenzie River,CRYL,0
Mackenzie River,DEAR,0
Mackenzie River,DUNE,0
Mackenzie River,FINA,0
Mackenzie River,FINL,0
Mackenzie River,FONT,0
Mackenzie River,FOXR,0
Mackenzie River,GATA,0
Mackenzie River,HAYR,0
Mackenzie River,KAHN,0
Mackenzie River,KCHL,0
Mackenzie River,KISK,0
Mackenzie River,LBTN,0
Mackenzie River,LFRT,0
Mackenzie River,LHAF,0
Mackenzie River,LIAR,0
Mackenzie River,LKEC,0
Mackenzie River,LMUS,0
Mackenzie River,LOMI,0
Mackenzie River,LPCE,0
Mackenzie River,LPET,0
Mackenzie River,LPRO,0
Mackenzie River,LSIK,0
Mackenzie River,MFRT,0
Mackenzie River,MILL,0
Mackenzie River,MMUS,0
Mackenzie River,MPRO,0
Mackenzie River,OSPK,0
Mackenzie River,PARA,0
Mackenzie River,PCEA,0
Mackenzie River,PINE,0
Mackenzie River,SAHD,0
Mackenzie River,SAHT,0
Mackenzie River,SHEK,0
Mackenzie River,TOAD,0
Mackenzie River,TSEA,0
Mackenzie River,UBTN,0
Mackenzie River,UFRT,0
Mackenzie River,UHAF,0
Mackenzie River,ULRD,0
Mackenzie River,UMUS,0
Mackenzie River,UPCE,0
Mackenzie River,UPET,0
Mackenzie River,UPRO,0
Mackenzie River,USIK,0
Nass River,LNAR,1
Nass River,NASR,1
Nass River,UBIR,1
Nass River,UNAR,1
Nass River,KINR,0
Nass River,KSHR,0
Nass River,LBIR,0
Nass River,TAYR,0
Skeena River,BABL,1
Skeena River,BABR,1
Skeena River,BULK,1
Skeena River,KISP,1
Skeena River,KLUM,1
Skeena River,LSKE,1
Skeena River,MORR,1
Skeena River,MSKE,1
Skeena River,SUST,1
Skeena River,USKE,1
Skeena River,KITR,0
Skeena River,KUMR,0
Skeena River,LKEL,0
Skeena River,ZYMO,0
Stikine River,BARR,1
Stikine River,CHUK,1
Stikine River,ISKR,1
Stikine River,KLAR,1
Stikine River,MSTR,1
Stikine River,PITR,1
Stikine River,SPAT,1
Stikine River,TAHR,1
Stikine River,TUYR,1
Stikine River,UISR,1
Stikine River,USTK,1
Stikine River,KAKC,0
Stikine River,LISR,0
Stikine River,LSTR,0
Stikine River,MESC,0
Stikine River,STIR,0
Taku River,INKR,1
Taku River,NAHR,1
Taku River,NAKR,1
Taku River,SHER,1
Yukon RIver,ATLL,1
Yukon RIver,GLAR,1
Yukon RIver,SWIR,1
Yukon RIver,TESR,1
Yukon RIver,UJER,1
Yukon RIver,JENR,0
Yukon RIver,KUSR,0
Yukon RIver,TATR,0
Yukon RIver,TUTR,0
