"cell_ind","row","col","lat","lon"
1,48,149,51.46875,-119.21875
2,48,150,51.46875,-119.15625
3,47,159,51.40625,-118.59375
4,47,158,51.40625,-118.65625
5,48,158,51.46875,-118.65625
6,47,158,51.40625,-118.65625
7,34,145,50.59375,-119.46875
8,34,144,50.59375,-119.53125
9,59,136,52.15625,-120.03125
10,59,137,52.15625,-119.96875
11,59,138,52.15625,-119.90625
12,60,139,52.21875,-119.84375
13,59,138,52.15625,-119.90625
14,57,140,52.03125,-119.78125
15,57,141,52.03125,-119.71875
16,56,140,51.96875,-119.78125
17,56,141,51.96875,-119.71875
18,57,144,52.03125,-119.53125
19,58,143,52.09375,-119.59375
20,59,144,52.15625,-119.53125
21,59,143,52.15625,-119.59375
22,63,139,52.40625,-119.84375
23,63,138,52.40625,-119.90625
24,64,138,52.46875,-119.90625
25,63,138,52.40625,-119.90625
26,65,142,52.53125,-119.65625
27,65,141,52.53125,-119.71875
28,64,141,52.46875,-119.71875
29,64,140,52.46875,-119.78125
30,65,138,52.53125,-119.90625
31,65,139,52.53125,-119.84375
32,65,140,52.53125,-119.78125
33,67,139,52.65625,-119.84375
34,66,140,52.59375,-119.78125
35,65,136,52.53125,-120.03125
36,64,136,52.46875,-120.03125
37,45,83,51.28125,-123.34375
38,46,84,51.34375,-123.28125
39,54,65,51.84375,-124.46875
40,55,65,51.90625,-124.46875
41,54,66,51.84375,-124.40625
42,55,66,51.90625,-124.40625
43,56,61,51.96875,-124.71875
44,56,62,51.96875,-124.65625
45,70,84,52.84375,-123.28125
46,71,83,52.90625,-123.34375
47,61,78,52.28125,-123.65625
48,62,79,52.34375,-123.59375
49,61,79,52.28125,-123.59375
50,62,79,52.34375,-123.59375
51,96,113,54.46875,-121.46875
52,95,114,54.40625,-121.40625
53,97,115,54.53125,-121.34375
54,96,114,54.46875,-121.40625
55,97,113,54.53125,-121.46875
56,97,114,54.53125,-121.40625
57,25,116,50.03125,-121.28125
58,25,117,50.03125,-121.21875
59,25,118,50.03125,-121.15625
60,26,118,50.09375,-121.15625
61,25,118,50.03125,-121.15625
62,23,116,49.90625,-121.28125
63,23,117,49.90625,-121.21875
64,24,116,49.96875,-121.28125
65,23,117,49.90625,-121.21875
66,32,120,50.46875,-121.03125
67,32,121,50.46875,-120.96875
